"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,171.6,,
"AUS","Australia","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,311,,
"AUS","Australia","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,304.1,,
"AUS","Australia","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,172,,
"AUS","Australia","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,475.7,,
"AUS","Australia","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,483,,
"AUT","Austria","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,135.3,,
"AUT","Austria","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,269.2,,
"AUT","Austria","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,364.8,,
"AUT","Austria","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,248.8,,
"AUT","Austria","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,500.1,,
